Date,Hagfish,Trial,Success ,Knot Type,Handedness,Time to escape,Time of Day,Length(cm),Girth(cm),Temperature (C˚),Salinity,Anesthetic time,C/CC,Previous knot
8/4,1,1,1,fig8,over-under,0:06:00,11:00: AM,53,7,8.9,36,9:00,N/A,N/A
8/4,1,1,1,OH,over-under,0:06:00,11:00: AM,53,7,8.9,36,9:00,C,
8/4,2,1,1,L,N/A,0:00:05,11:30: AM,51,5,8.9,36,10:00,N/A,
8/4,2,2,1,OH,over-under,0:00:11,11:50: AM,51,5,8.9,36,10:00,CC,
8/4,2,2,1,OH,over-under,0:00:11,11:50: AM,51,5,8.9,36,0:00,CC,
8/4,1,2,0,OH,over-under,0:00:17,12:00: PM,53,7,8.9,36,0:00,C,
8/4,1,2,1,OH,over-under,0:00:17,12:00: PM,53,7,8.9,36,0:00,C,
8/4,3,1,0,OH,over-under,0:00:30,12:25: PM,53,5,8.9,36,2:00,C,
8/4,3,1,0,OH,over-under,0:00:30,12:25: PM,53,5,8.9,36,2:00,CC,
8/4,3,1,1,OH,over-under,0:00:30,12:25: PM,53,5,8.9,36,2:00,CC,
8/4,3,1,1,OH,over-under,0:00:30,12:25: PM,53,5,8.9,36,2:00,C,
8/4,1,3,0,L,N/A,-,2:15: AM,53,7,9.1,36,1:30,N/A,
8/4,3,2,0,N/A,N/A,-,2:20: PM,53,5,9.1,36,0:00,N/A,
8/4,2,3,0,OH,over-under,-,2:51: PM,51,5,9.1,36,0:00,CC,
8/4,2,3,0,OH,over-under,-,2:51: PM,51,5,9.1,36,0:00,CC,
8/4,2,3,0,OH,over-under,-,2:51: PM,51,5,9.1,36,0:00,CC,
8/4,2,3,0,OH,under-over,-,2:51: PM,51,5,9.1,36,0:00,C,
8/4,4,1,0,OH,over-under,0:00:16,3:33: PM,51,4.5,9.1,36,2:00,CC,
8/4,4,2,1,fig8,over-under,0:00:10,4:00: PM,51,4.5,9.1,36,0:00,C,
8/4,5,1,0,OH,over-under,0:00:47,4:12: PM,46,4.5,7.7,36,0:00,CC,
8/4,5,1,1,OH,over-under,0:00:47,4:12: PM,46,4.5,7.7,36,0:00,CC,
8/4,5,1,1,fig8,over-under,0:00:47,4:12: PM,46,4.5,7.7,36,0:00,CC,
8/4,4,3,1,fig8,over-under,0:00:38,4:15: PM,51,4.5,7.7,36,0:00,CC,
8/4,5,2,1,OH,under-over,0:01:00,5:00: PM,46,4.5,7.7,36,0:00,CC,
8/4,5,2,1,OH,under-over,0:01:00,5:00: PM,46,4.5,7.7,36,0:00,CC,
8/4,5,2,1,OH,over-under,0:01:00,5:00: PM,46,4.5,7.7,36,0:00,CC,
8/4,3,3,0,OH,over-under,0:00:50,5:15: PM,53,5,7.9,36,0:00,CC,
8/4,3,3,0,OH,over-under,0:00:50,5:15: PM,53,5,7.9,36,0:00,CC,
8/4,3,3,1,OH,over-under,0:00:50,5:15: PM,53,5,7.9,36,0:00,C,
8/4,6,1,0,OH,over-under,0:01:06,5:35: PM,49,7,7.9,36,0:00,CC,
8/4,6,1,1,OH,over-under,0:01:06,5:35: PM,49,7,7.9,36,0:00,CC,
8/4,6,1,1,OH,over-under,0:01:06,5:35: PM,49,7,7.9,36,0:00,C,
8/4,6,1,1,OH,over-under,0:01:06,5:35: PM,49,7,7.9,36,0:00,CC,
8/5,7,1,1,OH,under-over,0:01:16,12:45: PM,45,5.5,8.8,35,2:30,C,
8/5,7,1,1,OH,over-under,0:01:16,12:45: PM,45,5.5,8.8,35,0:00,C,
8/5,7,1,1,OH,over-under,0:01:16,12:45: PM,45,5.5,8.8,35,0:00,C,
8/5,7,2,0,fig8,over-under,0:05:08,1:10: PM,45,5.5,8.8,35,0:00,C,
8/5,7,2,1,OH,over-under,0:05:08,1:10: PM,45,5.5,8.8,35,2:00,C,
8/5,7,2,1,OH,over-under,0:05:08,1:10: PM,45,5.5,8.8,35,2:00,C,
8/5,7,2,1,OH,over-under,0:05:08,1:10: PM,45,5.5,8.8,35,2:00,CC,
8/5,7,2,1,OH,over-under,0:05:08,1:10: PM,45,5.5,8.8,35,2:00,CC,
8/5,7,2,1,OH,over-under,0:05:08,1:10: PM,45,5.5,8.8,35,2:00,CC,
8/5,7,2,0,OH,over-under,0:05:08,1:10: PM,45,5.5,8.8,35,2:00,CC,
8/5,8,1,0,OH,over-under,0:00:29,5:50 PM,50,5.5,8.2,35,2:00,C,
8/5,8,1,0,OH,over-under,0:00:29,5:50 PM,50,5.5,8.2,35,2:00,C,
8/5,8,1,1,OH,over-under,0:00:29,5:50 PM,50,5.5,8.2,35,2:00,C,
8/5,9,1,0,fig8,over-under,0:02:05,6:00 PM,47,5,8.1,35,1:30,CC,
8/5,9,1,1,OH,over-under,0:02:05,6:00 PM,47,5,8.1,35,1:30,CC,
8/5,9,1,0,OH,over-under,0:02:05,6:00 PM,47,5,8.1,35,1:30,CC,
8/5,9,1,1,OH,over-under,0:02:05,6:00 PM,47,5,8.1,35,1:30,CC,
8/5,10,1,0,OH,over-under,0:01:38,6:05 PM,55,7,8.1,35,0:00,CC,
8/5,10,1,1,fig8,over-under,0:01:38,6:05 PM,55,7,8.1,35,2:00,CC,
8/5,10,1,0,OH,over-under,0:01:38,6:05 PM,55,7,8.1,35,2:00,C,
8/5,8,2,0,fig8,over-under,0:00:42,6:25 PM,50,5.5,6.8,35,1:00,C,
8/5,9,2,0,N/A,N/A,0:05:05,6:30 PM,47,5,6.7,35,0:00,N/A,
8/5,10,2,1,OH,over-under,0:01:58,6:45 PM,55,7,6.7,35,0:00,C,
8/5,10,2,1,fig8,over-under,0:01:58,6:45 PM,55,7,6.7,35,0:00,C,
8/5,10,2,1,OH,under-over,0:01:58,6:45 PM,55,7,6.7,35,0:00,C,
